id,txt
A0A0B4J273,TRAV34 (TVA34) | A0A0B4J273
A0A0B4J274,TRAV20 (TVA20) | A0A0B4J274
A0A0B4J275,TRAV17 (TVA17) | A0A0B4J275
A0A0B4J276,TRAV25 (TVA25) | A0A0B4J276
A0A0B4J277,TRAV22 (TVA22) | A0A0B4J277
A0A0B4J279,TRAV21 (TVA21) | A0A0B4J279
A0A0B4J280,TRAV40 (TVA40) | A0A0B4J280
A0A0B4J2A2,PPIAL4C (PAL4C) | A0A0B4J2A2
A0A0B4J2D5,GATD3B (GAL3B) | A0A0B4J2D5
A0A0B4J2D5-2,GATD3B (GAL3B) | A0A0B4J2D5-2
A0A0B4J2D9,IGKV1D-13 (KVD13) | A0A0B4J2D9
A0A0B4J2E0,TRBV12-4 (TVBL4) | A0A0B4J2E0
A0A0B4J2F0,PIGBOS1 (PIOS1) | A0A0B4J2F0
A0A0B4J2F2,SIK1B (SIK1B) | A0A0B4J2F2
A0A0B4J2H0,IGHV1-69D (HV69D) | A0A0B4J2H0
A0A0C4DH24,IGKV6-21 (KV621) | A0A0C4DH24
A0A0C4DH25,IGKV3D-20 (KVD20) | A0A0C4DH25
A0A0C4DH26,IGKV6D-41 (KVD41) | A0A0C4DH26
A0A0C4DH27,TRGV8 (TRGV8) | A0A0C4DH27
A0A0C4DH28,TRGV4 (TRGV4) | A0A0C4DH28
A0A0C4DH29,IGHV1-3 (HV103) | A0A0C4DH29
A0A0C4DH30,IGHV3-16 (HV316) | A0A0C4DH30
A0A0C4DH31,IGHV1-18 (HV118) | A0A0C4DH31
A0A0C4DH32,IGHV3-20 (HV320) | A0A0C4DH32
A0A0C4DH33,IGHV1-24 (HV124) | A0A0C4DH33
A0A0C4DH34,IGHV4-28 (HV428) | A0A0C4DH34
A0A0C4DH35,IGHV3-35 (HV335) | A0A0C4DH35
A0A0C4DH36,IGHV3-38 (HV338) | A0A0C4DH36
A0A0C4DH38,IGHV5-51 (HV551) | A0A0C4DH38
A0A0C4DH39,IGHV1-58 (HV158) | A0A0C4DH39
A0A0C4DH41,IGHV4-61 (HV461) | A0A0C4DH41
A0A0C4DH42,IGHV3-66 (HV366) | A0A0C4DH42
A0A0C4DH43,IGHV2-70D (HV70D) | A0A0C4DH43
A0A0C4DH55,IGKV3D-7 (KVD07) | A0A0C4DH55
A0A0C4DH59,TRBV5-4 (TVB54) | A0A0C4DH59
A0A0C4DH62,IGHJ1 (HJ01) | A0A0C4DH62
A0A0C4DH67,IGKV1-8 (KV108) | A0A0C4DH67
A0A0C4DH68,IGKV2-24 (KV224) | A0A0C4DH68
A0A0C4DH69,IGKV1-9 (KV109) | A0A0C4DH69
A0A0C4DH72,IGKV1-6 (KV106) | A0A0C4DH72
A0A0C4DH73,IGKV1-12 (KV112) | A0A0C4DH73
A0A0C5B5G6,MT-RNR1 (MOTSC) | A0A0C5B5G6
A0A0D9SF12,CCDC163 (CC163) | A0A0D9SF12
A0A0G2JMD5,PRAMEF33 (PRA33) | A0A0G2JMD5
A0A0G2JMI3,IGHV1-69-2 (HV692) | A0A0G2JMI3
A0A0G2JS06,IGLV5-39 (LV539) | A0A0G2JS06
A0A0J9YVY3,IGHV7-4-1 (HV741) | A0A0J9YVY3
A0A0J9YWL9,TEX13C (TX13C) | A0A0J9YWL9
A0A0J9YWP8,TRBJ1-3 (TJB13) | A0A0J9YWP8
A0A0J9YWX3,TRBJ1-6 (TJB16) | A0A0J9YWX3
A0A0J9YX06,TRBJ1-2 (TJB12) | A0A0J9YX06
A0A0J9YX35,IGHV3-64D (HV64D) | A0A0J9YX35
A0A0J9YX75,TRBV6-9 (TVB69) | A0A0J9YX75
A0A0J9YX94,PNMA6F (PMA6F) | A0A0J9YX94
A0A0J9YXA8,TRBJ1-1 (TJB11) | A0A0J9YXA8
